payment_id,settlement_date,gross_amount,fee,tax,net_amount
PAY_0001,2026-08-03,2231.00,44.62,8.03,2178.35
PAY_0002,2026-08-04,2962.00,59.24,10.66,2892.10
PAY_0003,2026-08-05,3693.00,73.86,13.29,3605.85
PAY_0004,2026-08-06,4424.00,88.48,15.93,4319.59
PAY_0005,2026-08-07,5155.00,103.10,18.56,5033.34
PAY_0006,2026-08-08,5886.00,117.72,21.19,5747.09
PAY_0007,2026-08-09,6617.00,132.34,23.82,6460.84
PAY_0008,2026-08-10,7348.00,146.96,26.45,7174.59
PAY_0009,2026-08-11,1579.00,31.58,5.68,1541.74
PAY_0010,2026-08-12,2310.00,46.20,8.32,2255.48
PAY_0011,2026-08-13,3041.00,60.82,10.95,2969.23
PAY_0012,2026-08-14,3772.00,75.44,13.58,3682.98
PAY_0013,2026-08-15,4503.00,90.06,16.21,4396.73
PAY_0014,2026-08-16,5234.00,104.68,18.84,5110.48
PAY_0015,2026-08-17,5965.00,119.30,21.47,5824.23
PAY_0016,2026-08-18,6696.00,133.92,24.11,6537.97
PAY_0017,2026-08-19,7427.00,148.54,26.74,7251.72
PAY_0018,2026-08-20,1658.00,33.16,5.97,1618.87
PAY_0019,2026-08-21,2389.00,47.78,8.60,2332.62
PAY_0020,2026-08-22,3120.00,62.40,11.23,3046.37
PAY_0021,2026-08-03,3851.00,77.02,13.86,3760.12
PAY_0022,2026-08-04,4582.00,91.64,16.50,4473.86
PAY_0023,2026-08-05,5313.00,106.26,19.13,5187.61
PAY_0024,2026-08-06,6044.00,120.88,21.76,5901.36
PAY_0025,2026-08-07,6775.00,135.50,24.39,6615.11
PAY_0026,2026-08-08,7506.00,150.12,27.02,7328.86
PAY_0027,2026-08-09,1737.00,34.74,6.25,1696.01
PAY_0028,2026-08-10,2468.00,49.36,8.88,2409.76
PAY_0029,2026-08-11,3199.00,63.98,11.52,3123.50
PAY_0030,2026-08-12,3930.00,78.60,14.15,3837.25
PAY_0031,2026-08-13,4661.00,93.22,16.78,4551.00
PAY_0032,2026-08-14,5392.00,107.84,19.41,5264.75
PAY_0033,2026-08-15,6123.00,122.46,22.04,5978.50
PAY_0034,2026-08-16,6854.00,137.08,24.67,6692.25
PAY_0035,2026-08-17,7585.00,151.70,27.31,7405.99
PAY_0036,2026-08-18,1816.00,36.32,6.54,1773.14
PAY_0037,2026-08-19,2547.00,50.94,9.17,2486.89
PAY_0038,2026-08-20,3278.00,65.56,11.80,3200.64
PAY_0039,2026-08-21,4009.00,80.18,14.43,3914.39
PAY_0040,2026-08-22,4740.00,94.80,17.06,4628.14
PAY_0041,2026-08-03,5000.00,100.00,18.00,4882.00
PAY_0042,2026-08-07,6400.00,128.00,23.04,6248.96
PAY_0043,2026-08-05,2800.00,56.00,10.08,2733.92
PAY_0044,2026-08-06,3600.00,72.00,12.96,3515.04
PAY_0045,2026-08-07,4500.00,90.00,16.20,4393.80
PAY_0046,2026-08-08,5200.00,104.00,18.72,5044.00
PAY_0047,2026-08-09,6350.00,122.00,21.96,6206.04
PAY_0048,2026-08-10,7700.00,146.00,26.28,7527.72
PAY_0049,2026-08-11,4100.00,82.00,14.76,4003.24
PAY_0050,2026-08-15,3900.00,78.00,14.04,3807.96
PAY_0051,2026-08-13,2700.00,54.00,9.72,2636.28
PAY_0052,2026-08-14,3300.00,66.00,11.88,3222.12
PAY_0053,2026-08-15,4700.00,94.00,16.92,4589.08
PAY_0054,2026-08-16,5600.00,112.00,20.16,5432.00
PAY_0055,2026-08-17,6450.00,124.00,22.32,6303.68
PAY_0056,2026-08-18,7500.00,142.00,25.56,7332.44
